Date                                    , Status                                  , ProjName                                , BoardDefShortName                       , BoardDefName                            , SynthName                               , ImplName                                , SynthInfo                               , SynthWarnings                           , SynthCritWarnings                       , SynthError                              , ImplInfo                                , ImplWarnings                            , ImplCritWarnings                        , ImplError                               , ImplDRCWarnings                         , ImplDRCError                            , ImplTimingWNS                           , ImplTimingFaildEndpoints                , ImplTimingTNS                           ,
2017-06-12T13:57:38                     , Ok                                      , zynqberrydemo1                          , te0726_m                                , trenz.biz:te0726_m:part0:3.1            , synth_1                                 , impl_1                                  , 149                                     , 109                                     , 0                                       , 0                                       , 19                                      , 41                                      , 0                                       , 0                                       , 70                                      ,  0                                      , 0.265                                   , 0                                       , 0.000                                   ,
2017-06-12T14:19:13                     , Ok                                      , zynqberrydemo1                          , te0726_7s                               , trenz.biz:te0726_7s:part0:3.1           , synth_1                                 , impl_1                                  , 149                                     , 107                                     , 0                                       , 0                                       , 19                                      , 41                                      , 0                                       , 0                                       , 70                                      ,  0                                      , 0.147                                   , 0                                       , 0.000                                   ,
